id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12306135,Urban Glamping North End Waterfront,66356498,Lauren,,North End,42.3626,-71.05255,Entire home/apt,45,91,0,,,1,0,0,
12320063,room in beautiful house,66462220,Jana,,Mission Hill,42.33233,-71.10948,Private room,60,91,3,2016-08-14,0.04,1,0,0,
12336281,Spacious loft in the quiet suburbs #3,7324551,Bo,,Brighton,42.34504,-71.15406,Private room,33,30,15,2020-04-20,0.23,4,107,0,
12343708,Walk/Bus to Redline Renovated Easy to MIT/Harvard,18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,36,150,9,2017-10-19,0.13,31,365,0,
12344142,Top Rated Apartment! Exceptional Location!,10619687,Mechaal,,East Boston,42.37032,-71.03974,Entire home/apt,115,91,119,2021-07-31,2.60,1,170,1,
12351909,Freshly Renovated Studio close to T,18150109,Alex,,Roxbury,42.32818,-71.09547,Entire home/apt,128,91,192,2019-11-13,2.79,4,171,0,STR411467
12359181,shared room in the heart of Boston,36496544,Lively,,Fenway,42.34753,-71.08956,Shared room,750,91,0,,,1,0,0,
12372052,Apartment with 2-3 bedrooms-3 min to subway T stop,21745230,Jurek,,Charlestown,42.38348,-71.07678,Entire home/apt,130,29,63,2018-08-31,0.95,11,130,0,
12382239,2BR Luxury Apt - Downtown/West End,45824588,Matt,,Downtown,42.36588,-71.0613,Entire home/apt,257,91,11,2016-07-22,0.16,1,0,0,
12409042,Close to Harvard - Zen Room Lic# STR383892,26956083,Todd,,Allston,42.3605,-71.12633,Private room,50,3,215,2021-11-19,3.16,4,101,38,STR-383892
12489916,Penthouse in Back Bay,65907845,Douglas,,Back Bay,42.35387,-71.07619,Entire home/apt,281,91,12,2016-07-20,0.17,1,0,0,
12496332,Sunny & Spacious room- South End,11556349,Ashley,,South End,42.33726,-71.07787,Private room,61,91,0,,,1,0,0,
12535687,In-Law Apartment,30349101,Rossanna,,Roslindale,42.28244,-71.13115,Entire home/apt,125,91,44,2019-10-27,0.69,1,0,0,
12581300,Private room in South Boston,68232240,Tyler,,South Boston,42.33118,-71.0535,Private room,65,91,11,2016-07-26,0.16,1,0,0,
12599820,North End Furnished Condo!,68369590,David,,North End,42.36718,-71.05657,Entire home/apt,175,91,3,2016-08-27,0.04,1,0,0,
12672097,Boston Brownstone,46846483,Giannoula,,Fenway,42.34626,-71.09049,Entire home/apt,202,2,163,2021-11-28,2.81,1,51,35,STR-415016
12756776,Wonderful Boston apartment Sunny & Newly renovated,39932301,Lev,,Roxbury,42.32647,-71.09557,Entire home/apt,200,91,18,2017-08-06,0.27,1,179,0,
12781774,Studio apartment in historic Boston,39290576,Paul,,Jamaica Plain,42.31486,-71.1144,Entire home/apt,99,2,69,2019-06-29,1.02,1,0,0,STR-410397
12834650,Comfy room,9640446,Mitchel,,Brighton,42.35019,-71.16056,Private room,50,91,11,2017-08-25,0.17,1,0,0,
12898177,1 Bedroom with Pool Access in Heart of Downtown Boston,22541573,Ken,,Downtown,42.35924,-71.05865,Entire home/apt,140,32,5,2019-09-25,0.10,27,353,0,
12901078,Mahar family room,27871799,Althea,,Mattapan,42.27644,-71.07681,Private room,75,29,42,2020-02-17,0.62,6,365,0,STR-415845
12949270,"Elegant room, colorful artist home",18896448,Sandy,,Jamaica Plain,42.3206,-71.1144,Private room,65,91,12,2016-12-02,0.18,2,0,0,
12950332,Clean Large Room near Redline/Rail Peaceful Area,18517776,Huggy,,Dorchester,42.30536,-71.07221,Private room,37,150,9,2018-02-18,0.14,31,365,0,
12997334,1 BR apartment near Harvard,24584254,Ak,,Allston,42.36546,-71.12005,Entire home/apt,99,91,9,2017-01-08,0.14,1,0,0,
13029806,"1 bedroom 1 bathroom in South End, Boston",71992437,Val,,South End,42.33686,-71.0692,Entire home/apt,210,91,30,2019-07-18,0.50,1,0,0,
13032590,3 bed apt next to T- fast wifi-off street parking,21745230,Jurek,,Charlestown,42.38187,-71.07734,Entire home/apt,185,1,385,2021-12-04,5.78,11,263,49,STR-383106
13044229,"Andrew Sq, South Boston - Modern Condo",72163500,Chris,,South Boston,42.32818,-71.05512,Entire home/apt,150,91,20,2017-10-27,0.30,1,0,0,
